origin,destination,count
35233,35233,104
35233,35204,10
35233,35203,97
35233,35216,4
35205,35233,48
35216,35242,10
35233,35208,3
35233,35209,62
35205,35205,88
35222,35222,18
35213,35233,8
35124,35226,2
35243,35209,7
35243,35244,4
35233,35217,2
35215,35233,2
35213,35243,8
35223,35213,4
35173,35054,1
35242,35242,48
35212,35203,54
35212,35210,17
35212,35205,32
35205,35223,11
35212,35213,21
35244,35244,54
35212,35209,37
35226,35124,2
35209,35243,11
35213,35212,16
35243,35242,14
35233,35023,1
35215,35206,6
35203,35234,5
35211,35208,3
35209,35216,17
35233,35213,31
35022,35211,1
35124,35124,20
35244,35124,5
35228,35211,3
35211,35211,14
35244,35216,16
35208,35206,1
35203,35206,5
35212,35244,14
35213,35205,12
35243,35243,26
35233,35222,60
35209,35226,9
35209,35205,51
35205,35222,33
35209,35233,24
35209,35209,86
35205,35203,39
35233,35210,16
35216,35226,10
35204,35204,4
35209,35203,34
35212,35243,22
35226,35244,9
35223,35205,6
35216,35209,15
35203,35233,40
35212,35216,10
35210,35217,1
35094,35243,2
35212,35233,42
35213,35209,6
35124,35216,3
35068,35212,2
35233,35243,11
35022,35022,5
35243,35094,2
35212,35215,4
35203,35203,35
35233,35224,1
35214,35214,3
35216,35244,18
35204,35208,1
35244,35209,8
35226,35205,9
35205,35226,7
35209,35223,18
35212,35242,15
35213,35210,9
35209,35229,4
35222,35210,14
35233,35205,131
35212,35226,11
35222,35205,18
35212,35222,18
35234,35203,7
35212,35223,17
35004,35094,8
35235,35242,1
35233,35212,26
35205,35209,41
35233,35226,11
35244,35207,3
35216,35216,29
35206,35224,1
35203,35212,27
35226,35209,8
35234,35221,2
35235,35235,13
35204,35244,1
35228,35023,2
35223,35223,8
35228,35204,1
35243,35216,4
35213,35213,15
35210,35203,9
35209,35212,27
35020,35209,2
35212,35004,1
35244,35218,1
35205,35242,4
35203,35205,29
35244,35226,9
35215,35215,15
35235,35205,1
35233,35234,6
35204,35209,2
35242,35222,1
35124,35212,2
35212,35204,3
35212,35173,6
35243,35223,9
35124,35007,2
35205,35215,3
35211,35209,17
35217,35203,2
35205,35023,2
35213,35222,9
35206,35215,7
35124,35242,3
35211,35229,1
35243,35233,10
35209,35206,3
35233,35214,2
35173,35235,7
35212,35022,3
35203,35007,1
35206,35244,3
35208,35208,5
35215,35212,4
35080,35007,1
35222,35212,21
35211,35204,6
35233,35223,19
35205,35211,6
35234,35213,3
35234,35233,3
35205,35243,11
35206,35223,3
35216,35173,2
35244,35212,9
35235,35215,8
35234,35212,5
35022,35221,1
35209,35064,4
35213,35223,12
35222,35233,19
35244,35211,1
35212,35043,2
35222,35213,18
35212,35214,2
35242,35124,3
35244,35007,1
35217,35217,6
35211,35242,2
35051,35226,1
35124,35222,2
35233,35229,3
35204,35223,1
35207,35235,1
35242,35233,3
35242,35244,2
35210,35210,15
35205,35127,1
35217,35209,5
35243,35212,5
35216,35124,2
35208,35207,1
35007,35244,1
35205,35213,13
35223,35203,5
35222,35244,2
35216,35213,2
35004,35211,12
35203,35244,3
35204,35212,2
35211,35023,1
35206,35235,5
35215,35173,1
35209,35213,17
35208,35228,1
35216,35203,2
35203,35209,20
35210,35209,3
35064,35233,1
35022,35020,2
35209,35234,5
35211,35004,7
35234,35207,2
35004,35212,4
35205,35068,2
35094,35203,1
35205,35216,7
35023,35023,1
35004,35243,1
35173,35212,3
35209,35061,2
35064,35242,1
35243,35205,8
35214,35211,2
35205,35210,7
35204,35216,2
35209,35217,3
35217,35243,4
35243,35210,9
35004,35204,1
35206,35206,8
35212,35234,2
35216,35094,1
35216,35212,8
35124,35209,4
35207,35210,1
35214,35064,1
35243,35213,4
35216,35243,8
35212,35206,8
35234,35222,3
35206,35242,5
35210,35223,1
35223,35233,4
35094,35004,5
35203,35211,3
35216,35229,1
35226,35211,2
35206,35222,3
35242,35212,7
35222,35203,17
35064,35214,3
35242,35210,5
35216,35233,4
35223,35222,4
35216,35223,4
35222,35216,2
35242,35243,19
35209,35071,2
35210,35242,4
35004,35210,2
35212,35212,31
35214,35233,2
35235,35222,1
35205,35212,11
35242,35216,4
35203,35222,13
35094,35223,2
35022,35205,1
35214,35205,2
35216,35217,2
35022,35203,1
35226,35051,1
35233,35254,7
35205,35234,12
35233,35211,8
35212,35211,4
35094,35094,19
35216,35205,6
35243,35203,4
35235,35218,1
35244,35242,3
35207,35234,2
35226,35242,1
35233,35244,2
35210,35212,19
35222,35209,5
35205,35254,3
35203,35204,3
35212,35228,1
35226,35212,6
35215,35222,1
35226,35216,4
35203,35210,2
35064,35228,2
35203,35213,6
35204,35205,3
35218,35203,2
35212,35178,1
35226,35217,2
35209,35244,1
35223,35243,4
35004,35221,2
35210,35213,8
35206,35205,4
35204,35022,1
35223,35212,7
35209,35222,11
35208,35205,1
35203,35064,2
35094,35233,4
35244,35080,5
35224,35005,1
35203,35218,1
35218,35064,1
35243,35206,1
35206,35216,3
35205,35064,1
35023,35127,1
35208,35224,1
35233,35207,5
35210,35206,8
35020,35211,1
35207,35212,1
35207,35023,1
35222,35223,1
35211,35203,4
35210,35243,1
35207,35111,1
35005,35214,1
35218,35233,2
35208,35211,4
35222,35243,14
35210,35204,2
35203,35208,1
35209,35210,3
35206,35217,2
35210,35222,5
35205,35214,1
35217,35223,2
35210,35233,1
35234,35022,1
35007,35243,1
35211,35215,1
35217,35222,1
